X Y Zeitstempel
-3468.81 3.60547 8162.8
-3466.8 10.5254 8162.8
-3469.02 17.4587 8162.8
-3464.54 24.3539 8162.8
-3465.67 31.2821 8162.8
-3467.79 38.2259 8162.8
-3468.33 45.1579 8162.8
-3462.61 51.9984 8162.8
-3470.5 59.0481 8162.8
-3471.06 65.9904 8162.8
-3467.61 72.8512 8162.8
-3469.96 79.8322 8162.8
-3471.66 86.8072 8162.8
-3463.74 93.5295 8162.8
-3476.16 100.811 8162.8
-3471.02 107.599 8162.8
-3475.11 114.671 8162.8
-3470.19 121.446 8162.8
-3469.25 128.349 8162.8
-3476.11 135.553 8162.8
-3476.52 142.521 8162.8
-3481.16 149.675 8162.8
-3469.55 156.117 8162.8
-3475.35 163.331 8162.8
-3479.26 170.478 8162.8
-3472.05 177.074 8162.8
-3475.37 184.202 8162.8
-3474.06 191.089 8162.8
-3473.49 198.014 8162.8
-3476.33 205.141 8162.8
-3478.66 212.249 8162.8
-3477.91 219.175 8162.8
-3477.78 226.139 8162.8
-3480.19 233.274 8162.8
-3475.1 239.904 8162.8
-3476.92 247.006 8162.8
-3481.54 254.321 8162.8
-3481.64 261.319 8162.8
-3479.56 268.15 8162.8
-3473.47 274.658 8162.8
-3479.02 282.088 8162.8
-3484.55 289.541 8162.8
-3486.3 296.402 8162.8
-3483.58 303.178 8162.8
-3485.71 310.377 8162.8
-3480.41 316.911 8162.8
-3484.75 324.323 8162.8
-3487.02 331.558 8162.8
-3485.23 338.411 8162.8
-3482.87 345.203 8162.8
-3492.37 353.188 8162.8
-3487.12 359.692 8162.8
-3489.38 366.968 8162.8
-3484.23 373.461 8162.8
-3487.7 380.879 8162.8
-3492.53 388.463 8162.8
-3487.83 394.993 8162.8
-3487.9 402.056 8162.8
-3488.4 409.173 8162.8
-3483.42 415.641 8162.8
-3492.88 423.845 8162.8
-3497.79 431.53 8162.8
-3485.39 437.066 8162.8
-3486.18 444.238 8162.8
-3493.97 452.321 8162.8
-3491.39 459.077 8162.8
-3489.04 465.856 8162.8
-3492.87 473.468 8162.8
-3495.07 480.876 8162.8
-3492.19 487.586 8162.8
-3498.08 495.53 8162.8
-3494.48 502.14 8162.8
-3492.73 509.009 8162.8
-3493.87 516.301 8162.8
-3497.04 523.906 8162.8
-3501.17 531.675 8162.8
-3499.86 538.627 8162.8
-3497.05 545.344 8162.8
-3505.46 553.827 8162.8
-3501.01 560.292 8162.8
-3502.48 567.701 8162.8
-3505.96 575.453 8162.8
-3503.76 582.278 8162.8
-3515.96 591.522 8162.8
-3512.36 597.827 8162.8
-3510.18 604.669 8162.8
-3516.04 612.91 8162.8
-3524.6 621.656 8162.8
-3521.13 628.297 8162.8
-3532.36 637.579 8162.8
-3547 647.538 8162.8
-3548.35 655.107 8162.8
-3558.27 664.289 8162.8
-3568.55 673.584 8162.8
-3584.2 683.953 8162.8
-3604.31 695.251 8162.8
-3632.11 708.139 8162.8
-3651.05 719.401 8162.8
-3679.4 732.621 8162.8
-3685.22 741.433 8162.8
-3717.84 755.725 8162.8
-3726.98 765.334 8162.8
-3739.95 775.782 8162.8
-3759.8 787.734 8162.8
-3757.73 795.136 8162.8
-3768.79 805.341 8162.8
-3774.02 814.34 8162.8
-3786.8 825.014 8162.8
-3776.11 830.586 8162.8
